event,sector,region,trkID,c_layer,z_layer,x0,y0,z0,r,phi,theta,eta,c_x0,c_y0,c_z0,z_x0,z_y0,z_z0
0,2,1,1,1,2,-0.7279302718,14.74664453,0.2617105246,14.7645998,1.620118727,1.553072642,0.01772461329,1.421085493e-15,14.7645998,0.2617105246,-0.8018821478,16.24478531,2.058000088
0,2,2,1,4,3,-1.143807007,19.23061486,0.6923999786,19.26460075,1.630204778,1.534870222,0.03593383537,1.421085493e-15,19.26460075,0.6923999786,-1.054744244,17.73321915,2.378000021
0,2,3,1,6,5,-1.826157061,22.18958308,0.9894999266,22.26460075,1.652909222,1.52638281,0.04442812563,0,22.26460075,0.9894999266,-1.703118563,20.69454575,1.482499957
0,3,1,2,1,2,14.59976135,-2.200088561,2.180399895,14.76460027,-0.1495680795,1.424178501,0.1471459689,12.78651905,-7.3822999,2.180399895,16.08301353,-2.423604965,2.058000088
0,3,2,2,4,3,19.07497837,-2.696302564,3.168571472,19.26460089,-0.1404225385,1.40777951,0.163743665,16.6836338,-9.632300377,3.168571472,17.58968735,-2.486352444,2.378000021
0,3,3,2,6,5,22.08263816,-2.840692081,3.870399952,22.26460059,-0.1279365505,1.398679822,0.1729726521,19.28170967,-11.13230038,3.870399952,20.59486771,-2.649306536,1.482499957
0,2,1,3,1,2,7.920673513,12.46019014,0.6505588293,14.7645998,1.004555,1.526762739,0.0440478249,2.842170985e-15,14.7645998,0.6505588293,8.725352287,13.72604847,2.058000088
0,2,2,3,4,3,10.2458864,16.31400178,1.225999951,19.26460075,1.01001214,1.507241994,0.06359715992,0,19.26460075,1.225999951,9.448084831,15.04370308,2.378000021
0,2,3,3,6,5,11.55500688,19.03140202,1.600634575,22.26460075,1.025132554,1.499028342,0.07182967293,1.421085493e-15,22.26460075,1.600634575,10.77648449,17.74915504,1.482499957
1,3,1,1,1,2,6.108247094,-13.44182795,-11.21186161,14.76460027,-1.144272094,2.220270197,-0.7006299489,12.78651905,-7.3822999,-11.21186161,6.728797913,-14.80741405,2.058000088
1,3,2,1,4,3,8.156043807,-17.45290225,-13.79283333,19.26460089,-1.13363499,2.19215872,-0.6656988047,16.6836338,-9.632300377,-13.79283333,7.52093029,-16.09383965,2.378000021
1,3,3,1,6,5,9.870691092,-19.9570012,-15.48213673,22.26460059,-1.111479721,2.178408188,-0.6488694493,19.28170967,-11.13230038,-15.48213673,9.205657005,-18.61240578,1.482499957
1,3,1,2,1,2,4.423652597,-14.08633093,-12.74775028,14.76460027,-1.266510298,2.283018307,-0.7814134234,12.78651905,-7.3822999,-12.74775028,4.873053074,-15.51736641,2.058000088
1,3,2,2,4,3,5.784928854,-18.37551212,-15.93950939,19.26460089,-1.265801732,2.262022071,-0.7539205151,16.6836338,-9.632300377,-15.93950939,5.334456921,-16.9446125,2.378000021
1,3,3,2,6,5,7.104586577,-21.10064665,-18.07790947,22.26460059,-1.246018888,2.252786019,-0.7419782881,19.28170967,-11.13230038,-18.07790947,6.625921726,-19.67901039,1.482499957
