group,bin,method,n,relative_bias,relative_resolution_68,relative_rmse,tail_fraction_10pct
true_p_gev,"[0.0, 0.25)",adapter,55,2110.027587890625,1527.4772509765626,2709.984619140625,1.0
true_p_gev,"[0.0, 0.25)",cvt,55,2183.229166314862,1476.197044616369,2796.18218453637,1.0
true_p_gev,"[0.0, 0.25)",cvtrec,55,2182.474652915589,1474.1478489300616,2795.640691090833,1.0
true_p_gev,"[0.25, 0.5)",adapter,552,0.011616071686148643,0.10399311304092405,0.11843313276767731,0.3351449275362319
true_p_gev,"[0.25, 0.5)",cvt,552,-0.009967278315873254,0.029634033422547282,0.05513438427291862,0.03804347826086957
true_p_gev,"[0.25, 0.5)",cvtrec,552,0.007462814129330317,0.02846700539851679,0.053240948617251344,0.03804347826086957
true_p_gev,"[0.5, 0.75)",adapter,964,0.0030353188049048185,0.06734793558716773,0.1242765262722969,0.15975103734439833
true_p_gev,"[0.5, 0.75)",cvt,964,0.0033398486081823585,0.027748019007114384,0.11850865887513026,0.017634854771784232
true_p_gev,"[0.5, 0.75)",cvtrec,964,0.008123868801202468,0.027373328877664783,0.11863653106266538,0.02074688796680498
true_p_gev,"[0.75, 1.0)",adapter,894,-0.006571618374437094,0.05533193863928318,0.05793394520878792,0.07718120805369127
true_p_gev,"[0.75, 1.0)",cvt,894,-0.0032813222067476287,0.029837813638363735,0.035857550476590665,0.007829977628635347
true_p_gev,"[0.75, 1.0)",cvtrec,894,-0.0020915468363908317,0.029628622336922532,0.03565971589643181,0.007829977628635347
true_p_gev,"[1.0, 1.5)",adapter,1855,-0.00315008033066988,0.04892317354679106,0.07039875537157059,0.050673854447439354
true_p_gev,"[1.0, 1.5)",cvt,1855,4.7224385117115356e-05,0.034887576259742134,0.06848556714560068,0.028032345013477088
true_p_gev,"[1.0, 1.5)",cvtrec,1855,6.372125306858713e-05,0.03425785242054607,0.06573309805652158,0.028032345013477088
true_p_gev,"[1.5, 2.0)",adapter,1912,-0.0017722880002111197,0.04857172779738903,0.05280918627977371,0.05439330543933055
true_p_gev,"[1.5, 2.0)",cvt,1912,0.0019639061729627956,0.04317968291148236,0.07465419552436241,0.045502092050209206
true_p_gev,"[1.5, 2.0)",cvtrec,1912,0.0016093767660525352,0.04283536571320049,0.07384128458520162,0.04602510460251046
true_p_gev,"[2.0, 3.0)",adapter,3768,-0.0039050329942256212,0.04951182074844837,0.05428791791200638,0.05467091295116773
true_p_gev,"[2.0, 3.0)",cvt,3768,-0.00030120279643270584,0.05767327717901578,0.07191325108875635,0.10721868365180467
true_p_gev,"[2.0, 3.0)",cvtrec,3768,-0.0007213595181823515,0.057266845281629744,0.07124881067932046,0.10589171974522293
true_p_gev,"[3.0, 5.0)",adapter,0,,,,
true_p_gev,"[3.0, 5.0)",cvt,0,,,,
true_p_gev,"[3.0, 5.0)",cvtrec,0,,,,
true_p_gev,"[5.0, 10.0)",adapter,0,,,,
true_p_gev,"[5.0, 10.0)",cvt,0,,,,
true_p_gev,"[5.0, 10.0)",cvtrec,0,,,,
true_theta_deg,"[0.0, 20.0)",adapter,0,,,,
true_theta_deg,"[0.0, 20.0)",cvt,0,,,,
true_theta_deg,"[0.0, 20.0)",cvtrec,0,,,,
true_theta_deg,"[20.0, 40.0)",adapter,127,66.00835418701172,0.05231646791100502,585.125732421875,0.07874015748031496
true_theta_deg,"[20.0, 40.0)",cvt,127,69.38696357266204,0.036244129250327016,626.8391285094273,0.03937007874015748
true_theta_deg,"[20.0, 40.0)",cvtrec,127,69.39926020160199,0.03667962806736835,626.8595377133902,0.03937007874015748
true_theta_deg,"[40.0, 60.0)",adapter,2182,5.870305061340332,0.0508546344935894,114.80865478515625,0.08524289642529789
true_theta_deg,"[40.0, 60.0)",cvt,2182,6.084303042682826,0.03864299833815507,119.53124066495955,0.05041246562786435
true_theta_deg,"[40.0, 60.0)",cvtrec,2182,6.084755988493373,0.03920144653421018,119.5059180998614,0.04949587534372136
true_theta_deg,"[60.0, 80.0)",adapter,2298,17.31627655029297,0.053226607888937,239.6861114501953,0.08790252393385553
true_theta_deg,"[60.0, 80.0)",cvt,2298,18.39823133289518,0.04468841311759804,256.08763502448585,0.07484769364664925
true_theta_deg,"[60.0, 80.0)",cvtrec,2298,18.38760558795975,0.044060974427773125,255.93286940427595,0.0731070496083551
true_theta_deg,"[80.0, 100.0)",adapter,2484,8.50927448272705,0.05476783603429794,164.1773681640625,0.09541062801932366
true_theta_deg,"[80.0, 100.0)",cvt,2484,8.598267013512523,0.04601762921590105,164.44670056771568,0.07608695652173914
true_theta_deg,"[80.0, 100.0)",cvtrec,2484,8.594982304255195,0.0454833616849832,164.40747772059908,0.07648953301127215
true_theta_deg,"[100.0, 120.0)",adapter,2363,7.856227397918701,0.05288938574492931,200.88986206054688,0.07490478205670757
true_theta_deg,"[100.0, 120.0)",cvt,2363,7.630064328494337,0.04214377223312307,193.14076659990374,0.059669911129919595
true_theta_deg,"[100.0, 120.0)",cvtrec,2363,7.630511291783596,0.04225441899292144,193.21187399115348,0.06093948370715192
true_theta_deg,"[120.0, 140.0)",adapter,543,16.114490509033203,0.055668174624443054,188.93539428710938,0.09576427255985268
true_theta_deg,"[120.0, 140.0)",cvt,543,17.865228903165505,0.040784197623349804,214.55242874003,0.0423572744014733
true_theta_deg,"[120.0, 140.0)",cvtrec,543,17.863449448570606,0.03998154052513596,214.50929108506736,0.04419889502762431
true_theta_deg,"[140.0, 160.0)",adapter,2,2824.376708984375,506.68333984375,2921.01220703125,1.0
true_theta_deg,"[140.0, 160.0)",cvt,2,2881.850278806142,367.13121207657787,2931.987685560827,1.0
true_theta_deg,"[140.0, 160.0)",cvtrec,2,2881.959432571068,366.8892720345116,2932.029479843209,1.0
true_theta_deg,"[160.0, 180.0)",adapter,1,945.9456787109375,0.0,945.9456787109375,1.0
true_theta_deg,"[160.0, 180.0)",cvt,1,855.4096417091503,0.0,855.4096417091503,1.0
true_theta_deg,"[160.0, 180.0)",cvtrec,1,856.6968034480152,0.0,856.6968034480152,1.0
pid,pion,adapter,3392,11.006404876708984,0.05229895889759063,207.36001586914062,0.08785377358490566
pid,pion,cvt,3392,10.771037406369816,0.041253606585351044,202.1213036500405,0.059846698113207544
pid,pion,cvtrec,3392,10.771417635713888,0.041348424940134854,202.17255038123668,0.060141509433962265
pid,kaon,adapter,3240,14.586246490478516,0.054706580117344854,223.84042358398438,0.08734567901234568
pid,kaon,cvt,3240,15.559067203086503,0.04299011743353501,238.66380696946578,0.06944444444444445
pid,kaon,cvtrec,3240,15.553023255602275,0.04293732265362698,238.58415315043817,0.0712962962962963
pid,proton,adapter,3368,9.334288597106934,0.052731516733765596,168.59457397460938,0.08491686460807601
pid,proton,cvt,3368,9.836211211100347,0.044046362489138347,178.15678713757384,0.06383610451306414
pid,proton,cvtrec,3368,9.833200781043098,0.042875311637335274,178.0620600110985,0.061460807600950115
pid,electron,adapter,0,,,,
pid,electron,cvt,0,,,,
pid,electron,cvtrec,0,,,,
pid,other,adapter,0,,,,
pid,other,cvt,0,,,,
pid,other,cvtrec,0,,,,
charge,negative,adapter,0,,,,
charge,negative,cvt,0,,,,
charge,negative,cvtrec,0,,,,
charge,positive,adapter,10000,11.603104591369629,0.053381663858890524,200.9778594970703,0.0867
charge,positive,cvt,10000,12.007509597939267,0.04274169263751417,207.37043417769362,0.0643
charge,positive,cvtrec,10000,12.004666419904604,0.04227776481375879,207.33027562087338,0.0642
